Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
shortestPaths/39,6.237898482680088e-8,6.059618803927062e-8,6.668915208350406e-8,9.186011650438468e-9,4.690340250687154e-9,1.7364889479659182e-8
edgeShort/3,1.852990679294087e-5,1.7913188216951593e-5,1.9647947697827952e-5,2.7406699366336426e-6,1.8271468797690864e-6,4.356966685916506e-6
edgeShort/7,8.897957360745792e-5,8.414339077726439e-5,1.0829149263152525e-4,2.7478326275030373e-5,8.28360733009929e-6,5.625457096838918e-5
edgeShort/11,2.765441713420111e-4,2.62738214412337e-4,3.0084016178620084e-4,5.9501257771841136e-5,4.0102531794030405e-5,9.837708716300352e-5
edgeShort/15,8.540131135784196e-4,8.039587667700742e-4,9.525574334411775e-4,2.2496927538659617e-4,1.107437086533473e-4,4.068799991540899e-4
edgeShort/19,3.0716618465959455e-3,2.803319574445696e-3,3.701033434044224e-3,1.223894603709903e-3,6.387835592893821e-4,2.1219604723142515e-3
edgeShort/23,4.52861509457056e-3,4.280318703841601e-3,4.857162202959444e-3,8.982195132737177e-4,6.399078030095067e-4,1.2823428824299272e-3
edgeShort/27,9.631666876572666e-3,8.687016314486314e-3,1.094225319506709e-2,3.100319107796817e-3,2.3273185800560914e-3,4.059400715321917e-3
edgeShort/31,1.4021443905313761e-2,1.2887951860748354e-2,1.6286472354262112e-2,3.885967401132734e-3,1.5719653594907447e-3,6.1261817179067085e-3
edgeShort/35,2.019949073715784e-2,1.8915902529477183e-2,2.2193684864559974e-2,3.44542093376529e-3,2.428993476866679e-3,4.614858163880901e-3
edgeShort/39,2.882885284620093e-2,2.6733047119055806e-2,3.231868528221388e-2,5.680223280333977e-3,2.5897752691598293e-3,8.800085125340104e-3
edgeShortCycles/3,5.681506867066957e-5,5.3691049888386755e-5,6.169388610462009e-5,1.3300955753426813e-5,9.301058541775526e-6,1.8383657892066894e-5
edgeShortCycles/7,3.985774211949494e-4,3.474047060996069e-4,4.900527421236813e-4,2.3254975715825092e-4,1.58347538479481e-4,3.4434877857792963e-4
edgeShortCycles/11,9.418163667508337e-4,8.619100886020698e-4,1.072369800533268e-3,3.383720412243894e-4,2.1371738195185354e-4,5.091515225851748e-4
edgeShortCycles/15,2.6900622539800406e-3,2.5043522056871523e-3,2.955318883238805e-3,7.123504671276385e-4,4.641156388391573e-4,9.442569903819214e-4
edgeShortCycles/19,5.783644082344034e-3,5.30005921525735e-3,6.6527244602038425e-3,1.8239104750922524e-3,1.2024356513243753e-3,2.8762888346743377e-3
edgeShortCycles/23,1.1198035174210816e-2,1.0354841971607288e-2,1.3022547177741994e-2,3.0778544486889654e-3,1.6327276424692224e-3,5.558796507927632e-3
edgeShortCycles/27,1.637542267152429e-2,1.5336780485666354e-2,1.8311331135902463e-2,3.4347443874011676e-3,1.766989910483374e-3,5.19687076637965e-3
edgeShortCycles/31,2.563885977873789e-2,2.4135461787072047e-2,2.8321529696730494e-2,4.468777863800978e-3,2.2444208247814085e-3,7.206704086262014e-3
edgeShortCycles/35,4.060076068317579e-2,3.647452364968413e-2,4.8247967422331346e-2,1.0478991250973124e-2,6.247737262935107e-3,1.6414614238205436e-2
edgeShortCycles/39,6.296062466401364e-2,5.5866449474927825e-2,7.447422604252779e-2,1.4921117469536808e-2,9.773393131508644e-3,2.016151109897912e-2
hortonF2/3,8.746547668474311e-5,8.201086558881573e-5,9.692719384490816e-5,2.237751411367821e-5,1.6303223808748918e-5,3.485957788669236e-5
hortonF2/7,4.834700430595614e-4,4.307360360484506e-4,5.857740586917438e-4,2.2146299277492093e-4,1.3163097715153667e-4,3.877732616973989e-4
hortonF2/11,1.7817258775555385e-3,1.6067007303649226e-3,2.002329104339015e-3,5.94489615492712e-4,4.289572173986619e-4,8.334586061298541e-4
hortonF2/15,5.313884312894171e-3,4.660469759480139e-3,6.96053704982959e-3,3.145720635685588e-3,1.472020000076705e-3,5.950080787809847e-3
hortonF2/19,9.826406756854192e-3,8.71396945076566e-3,1.1806888084425492e-2,4.17795143343967e-3,2.743307407858794e-3,6.587456364711903e-3
hortonF2/23,1.2129569154214724e-2,1.1498807583207087e-2,1.312504069098632e-2,2.071022418567676e-3,1.4157045439723175e-3,3.1416732709756492e-3
hortonF2/27,1.9002973477895844e-2,1.7238412997233596e-2,2.4410201965433656e-2,6.658033099359803e-3,2.0191184351096517e-3,1.3414285286571933e-2
hortonF2/31,2.951271544685903e-2,2.742542259108853e-2,3.320280226356664e-2,5.949133635883602e-3,3.6851056072025904e-3,8.638322485423247e-3
hortonF2/35,5.071527963185936e-2,4.148038209184741e-2,6.791419487347826e-2,2.304979613641451e-2,5.717450842810207e-3,3.607639495622519e-2
hortonF2/39,5.786757663477784e-2,5.436986291652461e-2,6.70834585917671e-2,9.533396145767092e-3,3.6154516386759285e-3,1.5615924797110856e-2
